year,county_str,annual_prem,n_obs
2018,12001,1274.5542,4334
2019,12001,1268.7695,4360
2020,12001,1370.6997,4653
2021,12001,1445.9957,4522
2022,12001,1844.2473,4690
2023,12001,2111.459,2863
2018,12003,1444.3591,361
2019,12003,1566.2699,348
2020,12003,1511.652,345
2021,12003,1533.2415,266
2022,12003,1902.8583,254
2023,12003,2152.1338,163
2018,12005,1794.0551,4136
2019,12005,1919.3053,4233
2020,12005,1915.4878,3964
2021,12005,2257.6294,3787
2022,12005,2824.7402,3696
2023,12005,3115.0996,2163
2018,12007,1445.7498,257
2019,12007,1502.9849,292
2020,12007,1475.9692,285
2021,12007,1660.0762,230
2022,12007,2109.9604,259
2023,12007,2453.9465,158
2018,12009,1802.4702,18707
2019,12009,1868.4163,19668
2020,12009,1935.8367,19216
2021,12009,2274.9382,17398
2022,12009,2830.1707,15990
2023,12009,3095.3391,9396
2018,12011,3237.5344,31772
2019,12011,3571.0908,32541
2020,12011,3718.3308,31843
2021,12011,4085.3108,29324
2022,12011,4903.748,28792
2023,12011,5574.791,17759
2018,12013,1448.8007,67
2019,12013,1711.2809,78
2020,12013,1930.1951,72
2021,12013,2305.1052,54
2022,12013,2357.2395,65
2023,12013,2973.915,38
2018,12015,1995.5342,5090
2019,12015,2064.8015,5393
2020,12015,2146.74,5338
2021,12015,2344.0002,4613
2022,12015,2793.5098,4486
2023,12015,3095.1631,2702
2018,12017,1224.2903,3155
2019,12017,1243.9797,3464
2020,12017,1364.3612,3488
2021,12017,1570.1802,3075
2022,12017,2026.6899,3001
2023,12017,2243.5298,1739
2018,12019,1331.512,5480
2019,12019,1386.7699,5703
2020,12019,1538.9241,5240
2021,12019,1650.0345,4965
2022,12019,2089.9819,4554
2023,12019,2333.9001,2697
2018,12021,2532.0283,5540
2019,12021,2679.4502,5779
2020,12021,2620.1301,5651
2021,12021,2879.7026,5174
2022,12021,3617.4478,4942
2023,12021,4156.7114,3003
2018,12023,1313.04,755
2019,12023,1407.4,807
2020,12023,1407.3528,840
2021,12023,1593.2793,613
2022,12023,2130.645,646
2023,12023,2400.6396,406
2018,12027,1836.8145,286
2019,12027,1793.3801,327
2020,12027,1841.1558,312
2021,12027,2060.9099,270
2022,12027,2680.0002,260
2023,12027,3001.96,127
2018,12029,1416.8699,38
2019,12029,1357.7101,56
2020,12029,1776.66,50
2021,12029,1850.8552,44
2022,12029,2226.75,52
2023,12029,2723.6699,32
2018,12031,1335.6382,19768
2019,12031,1484.0713,20557
2020,12031,1553.7886,20220
2021,12031,1783.7247,18188
2022,12031,2174.7805,16694
2023,12031,2480.7195,10275
2018,12033,1819.2598,6964
2019,12033,1837.5269,7408
2020,12033,1875.417,7158
2021,12033,2220.3796,6597
2022,12033,2854.615,6452
2023,12033,3266.8198,3798
2018,12035,1193.5471,3572
2019,12035,1297.7764,3723
2020,12035,1322.7206,3795
2021,12035,1615.9596,3603
2022,12035,2075.6477,3694
2023,12035,2377.0801,2194
2018,12037,3355.8647,136
2019,12037,2707.02,141
2020,12037,3014.2903,140
