date,Miami-Dade,Pinellas,Broward,Hillsborough,Palm Beach,Hernando,Pasco,Brevard,Manatee,Sarasota,Lee,Charlotte,Collier,St. Lucie,Orange,Volusia,Duval,Martin,Bay,Escambia,Polk,Citrus,Indian River,Okaloosa,Marion,Alachua,St. Johns,Santa Rosa,Lake,Seminole,Osceola,Leon,Clay,Nassau,Levy,Putnam,Walton,Taylor,Gadsden,Monroe,Highlands,Hendry,Jackson,Columbia,Gilchrist,Dixie,Sumter,Suwannee,Wakulla,Flagler,Bradford,DeSoto,Madison,Baker,Okeechobee,Jefferson,Franklin,Washington,Gulf,Glades,Holmes,Calhoun,Hardee,Hamilton,Lafayette,Liberty,Union
2018-06-30,78323,52225,50132,18796,20836,12471,14071,6367,5291,4447,5986,3348,1947,2286,1669,1983,1642,1436,1775,1096,1577,2245,1248,784,1451,916,927,1136,1701,583,640,628,678,548,791,639,432,432,311,242,374,261,250,323,376,393,325,278,238,180,200,183,128,230,175,157,141,153,116,95,69,87,91,43,66,65,58
2018-12-31,74969,52296,49647,19136,19845,12460,13793,6465,5251,4347,5893,3376,1875,2293,1677,2063,1591,1384,1798,1065,1569,2312,1264,799,1461,909,947,1126,1730,597,643,665,693,550,809,629,440,469,323,230,386,252,262,338,376,396,318,278,245,196,208,186,129,250,162,162,142,156,113,93,77,84,85,42,64,64,54
2019-03-31,73127,52352,49152,19173,19240,12451,13622,6506,5191,4269,5835,3401,1875,2246,1644,2089,1605,1352,1627,1056,1508,2321,1275,804,1436,883,947,1111,1709,608,623,650,689,547,801,627,444,465,316,219,383,239,247,327,371,396,313,273,240,199,208,183,124,254,157,158,132,146,99,88,73,71,83,45,65,60,56
2019-06-30,72192,52868,49752,19470,19505,12504,13620,6651,5221,4277,6048,3452,1922,2262,1690,2152,1619,1356,1581,1039,1494,2358,1293,803,1439,867,965,1067,1696,619,633,662,680,551,793,616,448,491,320,221,393,252,250,324,363,402,309,270,246,199,203,183,124,254,159,157,137,149,103,87,75,66,81,45,68,66,56
2019-09-30,72604,52131,50804,19277,19511,12510,13524,6717,5248,4277,6115,3453,1951,2271,1740,2184,1603,1357,1568,991,1495,2389,1339,802,1416,858,998,1060,1693,616,642,649,672,547,791,599,447,485,311,213,393,238,262,319,365,408,301,266,248,204,205,179,120,249,156,156,139,144,99,85,78,74,83,42,65,67,61
2019-12-31,73377,53814,51690,20322,20123,14006,14849,7957,5947,4777,7285,3844,2241,2749,2682,2790,1961,1490,1722,1132,2040,3290,1552,838,1783,898,1222,1134,2082,1008,1073,687,853,644,940,657,469,548,327,211,421,279,277,354,399,436,383,316,317,342,219,210,131,277,203,180,165,176,108,99,69,75,84,49,76,68,65
2020-03-31,75674,54118,52859,20393,20650,14025,14928,8093,5885,4724,7281,3867,2242,2793,2761,2846,1968,1492,1706,1116,2017,3324,1566,847,1796,905,1237,1122,2060,1019,1109,688,853,631,956,649,470,551,328,213,432,277,286,356,403,435,378,318,313,344,228,214,130,285,199,178,166,184,107,104,74,74,84,48,75,73,66
2020-06-30,84235,55678,58355,21195,23085,14292,15310,8487,5987,4815,7651,4017,2371,3009,3353,3054,2127,1596,1797,1168,2120,3457,1677,898,1868,924,1305,1154,2159,1153,1286,763,881,652,1003,666,488,571,351,222,469,290,308,368,409,464,395,326,336,370,249,225,129,294,217,179,174,201,112,103,95,74,87,51,77,81,69
2020-09-30,93881,57943,65685,22215,26578,14634,15800,8976,6092,4907,7985,4164,2527,3308,3788,3312,2353,1693,1867,1195,2229,3605,1844,951,1910,954,1372,1191,2234,1324,1471,845,926,671,1034,682,488,604,366,226,517,322,329,379,410,482,409,324,336,398,254,230,130,306,237,190,176,210,123,106,102,75,91,53,77,86,75
2020-12-31,101964,59928,72467,23180,30185,14920,16264,9448,6232,4997,8250,4312,2687,3712,4446,3530,2614,1812,1960,1241,2392,3681,1991,1054,1948,994,1433,1254,2377,1541,1748,900,974,695,1061,694,501,635,381,234,576,346,345,391,415,500,426,327,346,430,258,240,129,305,255,188,188,213,132,109,108,80,89,53,76,87,76
