geoid,county,state,median_income_e,median_income_m,nonrenewal_2023,nonrenewal_2022,nonrenewal_2021,nonrenewal_2020,nonrenewal_2019,nonrenewal_2018,pc_change_non_renewal,flag,population,alr_valb,alr_vra_npctl,premium_2018,premium_2019,premium_2020,premium_2021,premium_2022,premium_2023,pc_change_premium
12001,Alachua,FL,59659,1398,1.6546324488908222,2.1231940648184304,0.6750807161725858,0.4990544231981509,0.6513521372492004,0.5401092493708954,206.35143738384284,NA,277984,0.001342175781221,74.29207763283488,1274.5542,1268.7695,1370.6997,1445.9957,1844.2473,2111.459,65.6625508746509
12003,Baker,FL,70833,8439,1.0120481927710843,1.3084112149532712,0.6982543640897756,0.6479481641468683,0.5160550458715597,0.2895193977996526,249.56144578313246,NA,27852,0.001105723098077,66.75151129494114,1444.3591,1566.2699,1511.652,1533.2415,1902.8583,2152.1338,49.00268222770918
12005,Bay,FL,70188,1921,2.543277211287645,2.7243423601698704,1.7719592699750466,1.2455059065228555,0.4579453518546787,0.5359907228106777,374.50022977095057,NA,174869,0.004169098622823,98.02736239261853,1794.0551,1919.3053,1915.4878,2257.6294,2824.7402,3115.0996,73.63455559419552
12007,Bradford,FL,59740,6217,1.7103831018933824,1.4468558708959376,1.3793103448275863,0.3052503052503053,1.0389610389610389,0.5956320317670417,187.15431855121122,NA,28233,0.002007717283049,86.89150493159403,1445.7498,1502.9849,1475.9692,1660.0762,2109.9604,2453.9465,69.7352128286651
12009,Brevard,FL,75817,932,4.477064878334737,5.252708108265935,1.3967415548393187,1.0233194260409184,0.7657872248470146,0.6395370215847281,600.0478044634355,NA,606067,0.003613087363986,94.27298759147311,1802.4702,1868.4163,1935.8367,2274.9382,2830.1707,3095.3391,71.72761580191451
12011,Broward,FL,74534,993,3.3009480830884987,2.018327517994211,1.7907263098567356,2.0214645725188887,2.808928969358124,2.074741080860269,59.10168808725743,NA,1940829,0.003163992689303,93.03213490295896,3237.5344,3571.0908,3718.3308,4085.3108,4903.748,5574.791,72.19248697403803
12013,Calhoun,FL,46901,8322,1.0822510822510822,0.8130081300813009,0.8492695094429268,0.4807692307692308,0.7832898172323759,1.6172506738544474,-33.08080808080808,NA,13597,0.002934393967909,94.20935412026726,1448.8007,1711.2809,1930.1951,2305.1052,2357.2395,2973.915,105.26736355110818
12015,Charlotte,FL,66154,1973,4.705463560772998,4.494486630429515,2.0743950284938966,0.7841396656310106,0.5716226158809213,0.3273089511882738,1337.6214105022545,NA,186734,0.003465580988223,94.68660515431117,1995.5342,2064.8015,2146.74,2344.0002,2793.5098,3095.1631,55.104487810832815
12017,Citrus,FL,55355,2103,2.169199478087344,1.600016758489222,0.8878346323280243,0.4282655246252677,0.7435465768799102,0.44887080937017815,383.2569712276461,NA,153476,0.004232428703319,95.7683741648107,1224.2903,1243.9797,1364.3612,1570.1802,2026.6899,2243.5298,83.2514559659584
12019,Clay,FL,86094,2544,1.2832217488334348,1.8598387926306421,0.6049395060493951,0.42930116291707426,0.6165590135055784,0.4809976247030879,166.78338580685238,NA,218078,0.001009321286257,59.33821189945911,1331.512,1386.7699,1538.9241,1650.0345,2089.9819,2333.9001,75.28194263363754
12021,Collier,FL,86173,2482,4.917153146844574,3.2763652321128394,2.0647071650732802,1.1683273008255726,1.3144118229901918,0.526829268292683,833.3485139843867,NA,375443,0.003419669627667,94.65478841870824,2532.0283,2679.4502,2620.1301,2879.7026,3617.4478,4156.7114,64.16528203890928
12023,Columbia,FL,55070,3248,0.6404782237403929,1.5762170790103753,0.7073565076798707,0.42052144659377627,0.5276989603074055,0.246415770609319,159.9177082524649,NA,69648,0.001600755913213,83.61438116449253,1313.04,1407.4,1407.3528,1593.2793,2130.645,2400.6396,82.83065253152989
12027,DeSoto,FL,50868,3499,5.444141658174657,2.299412915851272,0.6839276990718124,0.301659125188537,0.5483549351944167,0.20090406830738325,2609.8215103564353,NA,33898,0.004188537119244,98.37734648425072,1836.8145,1793.3801,1841.1558,2060.9099,2680.0002,3001.96,63.432943283058805
12029,Dixie,FL,47655,6322,9.61038961038961,2.444987775061125,0.7281553398058253,0.4608294930875576,0.904991693695119,2.0454545454545454,369.8412698412699,NA,16706,0.003509092801952,95.00477251034044,1416.8699,1357.7101,1776.66,1850.8552,2226.75,2723.6699,92.23147446353403
12031,Duval,FL,68447,1307,1.9041439894814691,2.525571824289084,0.91093331081509,0.6403137578697492,0.8791752284352731,0.7304833632723018,160.66904261194824,NA,994675,9.36328956928e-4,62.1380846325167,1335.6382,1484.0713,1553.7886,1783.7247,2174.7805,2480.7195,85.73289533048694
